booking_id,tourist_id,hotel_id,destination_id,booking_date,check_in,check_out,season,payment_method,hotel_cost,food_cost,transport_cost,shopping_cost,activity_cost,discount,total_cost,stay_duration,revenue,profit,average_daily_cost
1,958,351,135,2024-06-10,2024-07-12,2024-07-17,Monsoon,Net Banking,4276.8,17479.53,5121.24,16426.05,1066.46,491.9,43878.18,5,43878.18,8775.64,8775.64
2,91,387,164,2024-04-06,2024-04-26,2024-05-02,Summer,Cash,32727.78,22888.8,12540.81,32396.85,12860.35,262.82,113151.77,6,113151.77,22630.35,18858.63
3,866,202,3,2023-02-18,2023-04-15,2023-04-21,Summer,Net Banking,26427.42,10552.78,1338.64,2701.75,3951.61,424.35,44547.85,6,44547.85,8909.57,7424.64
4,609,50,12,2024-11-27,2024-12-23,2024-12-25,Winter,Credit Card,27986.24,3221.42,3697.65,7393.63,685.57,860.85,42123.66,2,42123.66,8424.73,21061.83
5,148,288,102,2024-08-17,2024-09-05,2024-09-12,Autumn,Debit Card,45942.61,6659.37,2243.56,9891.59,522.58,3342.02,61917.69,7,61917.69,12383.54,8845.38
6,705,103,88,2022-11-23,2023-01-05,2023-01-07,Winter,Cash,10918.86,4646.13,6541.83,17054.73,12292.35,726.89,50727.01,2,50727.01,10145.4,25363.5
7,57,475,177,2024-02-29,2024-03-16,2024-03-19,Summer,Cash,9693.27,4808.2,6211.87,7904.34,5046.4,179.13,33484.95,3,33484.95,6696.99,11161.65
8,150,326,134,2022-12-06,2023-01-27,2023-02-03,Winter,Debit Card,133890.96,10586.29,7933.32,10933.62,4333.11,5824.98,161852.32,7,161852.32,32370.46,23121.76
9,684,52,77,2024-10-26,2024-12-12,2024-12-16,Winter,Net Banking,21354.4,4314.92,4199.42,4639.64,3347.23,474.6,37381.01,4,37381.01,7476.2,9345.25
10,291,235,68,2023-12-21,2024-02-01,2024-02-05,Winter,Credit Card,21986.24,5870.65,4572.88,6198.76,649.21,2991.42,36286.32,4,36286.32,7257.26,9071.58
11,986,72,28,2024-06-04,2024-06-09,2024-06-12,Monsoon,UPI,3248.34,3752.87,4444.09,2107.8,3658.93,255.83,16956.2,3,16956.2,3391.24,5652.07
12,526,33,63,2023-01-25,2023-03-12,2023-03-19,Summer,Cash,10319.89,12712.6,6949.31,14160.54,2653.54,1180.5,45615.38,7,45615.38,9123.08,6516.48
13,311,473,50,2024-05-09,2024-06-13,2024-06-19,Monsoon,Debit Card,111796.98,8184.35,4709.65,7753.98,2339.02,2170.35,132613.63,6,132613.63,26522.73,22102.27
14,332,302,142,2024-11-05,2024-12-19,2024-12-24,Winter,Credit Card,23078.15,2836.97,4408.12,1591.8,837.89,367.71,32385.22,5,32385.22,6477.04,6477.04
15,957,348,21,2023-09-30,2023-11-25,2023-12-02,Autumn,Debit Card,12904.57,9214.07,9046.04,14563.26,3688.58,1884.04,47532.48,7,47532.48,9506.5,6790.35
16,945,33,63,2023-12-28,2024-01-04,2024-01-11,Winter,Credit Card,10319.89,8136.05,2497.29,6312.94,603.11,269.45,27599.83,7,27599.83,5519.97,3942.83
17,111,358,162,2023-05-11,2023-06-21,2023-06-27,Monsoon,Debit Card,12810.42,8570.63,5335.94,12219.28,2320.63,1426.1,39830.8,6,39830.8,7966.16,6638.47
18,445,417,90,2023-05-22,2023-07-03,2023-07-05,Monsoon,Credit Card,28604.92,1610.62,4240.04,8932.91,1758.46,1750.74,43396.21,2,43396.21,8679.24,21698.1
19,560,443,38,2022-12-02,2023-01-22,2023-01-29,Winter,Cash,16073.54,8709.84,4329.61,5703.7,2158.07,848.94,36125.82,7,36125.82,7225.16,5160.83
20,634,461,74,2023-07-17,2023-07-26,2023-07-31,Monsoon,Net Banking,12163.7,7191.03,4495.91,5691.52,945.17,943.75,29543.58,5,29543.58,5908.72,5908.72
21,104,61,147,2023-05-12,2023-06-20,2023-06-24,Monsoon,Credit Card,4352.6,3344.13,4762.47,9222.73,1379.84,459.16,22602.61,4,22602.61,4520.52,5650.65
22,70,447,96,2024-07-26,2024-09-03,2024-09-09,Autumn,Debit Card,23372.34,10678.76,4727.24,5000.47,1897.27,198.6,45477.48,6,45477.48,9095.5,7579.58
23,715,457,117,2023-12-25,2024-02-09,2024-02-11,Winter,Credit Card,40424.74,2014.14,2043.52,3345.41,3176.58,844.61,50159.78,2,50159.78,10031.96,25079.89
24,561,419,39,2023-06-02,2023-07-08,2023-07-10,Monsoon,Cash,5225.58,13366.7,13724.51,27560.67,2245.56,768.99,61354.03,2,61354.03,12270.81,30677.02
25,973,214,76,2023-07-14,2023-08-18,2023-08-21,Monsoon,UPI,6644.13,17117.94,5098.48,17877.48,4638.09,349.07,51027.05,3,51027.05,10205.41,17009.02
26,490,156,136,2023-11-23,2023-12-01,2023-12-03,Winter,Debit Card,11791.84,5205.12,8882.36,13638.82,6165.46,977.24,44706.36,2,44706.36,8941.27,22353.18
27,54,199,151,2023-05-26,2023-07-14,2023-07-19,Monsoon,Cash,11120.05,7066.56,5503.62,17942.93,7877.74,613.34,48897.56,5,48897.56,9779.51,9779.51
28,199,176,49,2023-05-20,2023-06-08,2023-06-10,Monsoon,Cash,6122.12,1854.27,4774.07,13546.24,5988.73,492.42,31793.01,2,31793.01,6358.6,15896.5
29,47,411,35,2023-01-19,2023-01-27,2023-01-29,Winter,Credit Card,2621.14,1380.15,1722.37,437.19,1723.84,257.61,7627.08,2,7627.08,1525.42,3813.54
30,251,150,111,2024-02-29,2024-04-16,2024-04-18,Summer,Credit Card,10589.64,2212.44,8556.27,3705.5,5343.11,1292.08,29114.88,2,29114.88,5822.98,14557.44
31,920,469,35,2024-08-30,2024-09-23,2024-09-27,Autumn,Cash,54386.16,3756.1,3614.58,5268.44,1436.37,5692.37,62769.28,4,62769.28,12553.86,15692.32
32,516,54,60,2023-12-10,2024-01-23,2024-01-28,Winter,UPI,63450.3,3088.35,4648.2,8414.25,2323.48,2902.27,79022.31,5,79022.31,15804.46,15804.46
33,567,108,133,2023-01-13,2023-02-02,2023-02-09,Winter,Net Banking,13877.64,10324.03,2815.05,1142.39,2246.18,70.27,30335.02,7,30335.02,6067.0,4333.57
34,285,302,142,2023-08-11,2023-09-02,2023-09-08,Autumn,Net Banking,27693.78,14916.43,8902.18,7693.26,1310.91,854.62,59661.94,6,59661.94,11932.39,9943.66
35,189,338,18,2023-05-29,2023-06-22,2023-06-24,Monsoon,Cash,24522.78,3288.99,4748.9,9100.54,3140.67,1236.75,43565.13,2,43565.13,8713.03,21782.56
