tourist_id,age,gender,country,travel_type,budget,average_spending
1,33,Male,UAE,Couple,84071.42,48869.22
2,70,Female,UK,Couple,128732.68,45188.65
3,52,Male,India,Family,66968.35,44840.9
4,63,Female,India,Family,46268.9,50105.86
5,24,Female,India,Business,12088.23,48180.28
6,24,Female,India,Family,33074.11,52275.21
7,31,Male,France,Friends,113613.28,51064.9
8,18,Male,India,Family,44575.16,57597.27
9,57,Female,India,Family,45829.89,48529.92
10,54,Female,Canada,Friends,121779.12,43612.61
11,40,Male,India,Family,55521.19,47293.92
12,72,Male,Germany,Solo,140107.57,40682.83
13,21,Male,USA,Friends,85924.46,46064.59
14,73,Female,Germany,Couple,120222.19,37396.64
15,43,Female,USA,Couple,93519.0,35987.79
16,31,Male,India,Couple,21537.85,50816.56
17,41,Female,India,Business,30101.98,50226.08
18,26,Male,India,Solo,31640.18,34962.26
19,49,Female,UAE,Solo,63722.03,53954.89
20,69,Female,Germany,Friends,119539.05,34125.84
21,45,Male,India,Couple,34602.14,23258.58
22,42,Female,India,Couple,10222.9,23915.22
23,49,Male,USA,Couple,142656.45,89686.4
24,54,Female,India,Solo,24498.04,45645.99
25,41,Male,India,Business,12401.89,41358.37
26,64,Female,India,Solo,36697.46,42430.98
27,23,Male,India,Family,78020.55,38926.55
28,22,Female,India,Friends,26051.0,47219.09
29,18,Female,India,Friends,27218.96,40180.27
30,39,Female,India,Business,18838.54,53824.71
31,28,Male,India,Family,45203.54,39106.98
32,68,Female,India,Family,38453.96,54705.74
33,21,Female,Australia,Family,78681.57,148117.71
34,23,Male,India,Friends,18335.46,22950.22
35,26,Female,India,Couple,32242.87,31714.87
36,56,Male,Canada,Family,115915.56,77367.3
37,41,Male,India,Family,54245.93,40522.37
38,69,Male,India,Solo,14352.11,38350.62
39,70,Male,Australia,Family,91294.79,81196.86
40,42,Male,India,Family,38364.16,26375.14
41,54,Female,India,Couple,34585.93,44860.39
42,21,Male,India,Family,53813.31,42474.48
43,66,Male,India,Family,53729.48,34635.54
44,27,Female,India,Friends,23464.62,82923.87
45,61,Female,UAE,Family,54101.76,69103.96
46,52,Female,Japan,Couple,141804.2,28899.36
47,72,Female,India,Couple,12948.3,36702.08
48,59,Female,India,Family,42089.85,43520.03
49,61,Male,India,Family,79660.74,36387.81
50,38,Male,India,Friends,10358.84,38077.01
51,24,Male,India,Couple,31757.52,28937.5
52,34,Male,India,Family,32844.1,42839.34
53,56,Male,Japan,Family,120807.51,85799.52
54,25,Male,Germany,Solo,115639.46,45018.71
55,75,Male,France,Family,75333.57,77048.1
56,47,Male,India,Friends,18291.51,53070.66
57,45,Female,India,Family,43864.37,36468.11
58,21,Female,India,Business,17747.16,29954.73
59,70,Female,India,Solo,39382.66,48449.9
60,30,Female,India,Family,37193.63,76418.52
61,67,Female,India,Family,75630.46,55791.98
62,63,Female,India,Solo,27140.34,30392.46
63,34,Female,India,Family,62643.27,44174.3
64,18,Male,India,Couple,31001.66,29655.32
65,75,Female,India,Family,76995.55,27844.36
66,49,Female,India,Friends,33428.11,39657.7
67,68,Male,India,Solo,38624.66,26611.88
68,70,Female,India,Family,79580.07,56385.05
69,39,Female,India,Family,77941.19,58176.55
70,23,Female,India,Business,12413.7,35602.63
71,47,Female,India,Couple,11179.94,41861.61
72,42,Male,India,Couple,13203.04,40070.86
73,62,Female,India,Friends,23139.51,38462.4
