destination_id,destination_name,city,state,category,best_season,rating,entry_fee,average_trip_cost,popularity_score,latitude,longitude
1,Panaji Point,Panaji,Goa,Beach,Monsoon,3.9,69.77,6537.43,87.0,23.8156,85.1243
2,Jaipur Valley,Jaipur,Rajasthan,Historical,Winter,3.8,252.68,5398.04,59.9,26.8466,83.8033
3,Dalhousie Resort,Dalhousie,Himachal Pradesh,Hill Station,Summer,3.9,434.65,16382.11,58.0,20.2558,76.0583
4,Dharamshala Valley,Dharamshala,Himachal Pradesh,Hill Station,Summer,3.6,48.36,17712.42,80.2,31.4067,89.1622
5,Mapusa Valley,Mapusa,Goa,Beach,Monsoon,4.7,309.26,17925.6,78.9,28.4326,69.3289
6,Dharamshala Valley,Dharamshala,Himachal Pradesh,Hill Station,Summer,4.8,433.24,10701.89,72.7,32.1892,72.717
7,Pune Point,Pune,Maharashtra,Historical,Winter,4.4,85.57,15936.9,58.2,19.0042,96.6962
8,Dharamshala Lake,Dharamshala,Himachal Pradesh,Hill Station,Summer,4.7,27.97,17327.04,90.3,19.6338,69.9195
9,Pune Point,Pune,Maharashtra,Adventure,All Season,4.8,321.43,7143.07,57.0,29.6047,83.6303
10,Coimbatore Temple,Coimbatore,Tamil Nadu,Historical,Summer,5.0,69.17,12402.74,87.8,32.972,72.4324
11,Wayanad Resort,Wayanad,Kerala,Hill Station,Summer,4.1,297.94,12020.75,62.6,24.0436,95.3305
12,Calangute Lake,Calangute,Goa,Beach,Monsoon,4.7,170.09,9402.5,57.9,8.0941,88.9407
13,Dehradun Lake,Dehradun,Uttarakhand,Hill Station,Summer,3.8,456.31,18057.78,64.9,26.5295,85.6601
14,Alleppey Lake,Alleppey,Kerala,Beach,Winter,4.4,244.3,6678.02,68.1,36.5743,91.3965
15,Shimla Fort,Shimla,Himachal Pradesh,Hill Station,Summer,4.8,473.47,6284.8,74.3,10.0072,90.0575
16,Kochi Point,Kochi,Kerala,Adventure,Summer,3.9,436.22,11347.07,60.6,23.6396,89.168
17,Dharamshala Temple,Dharamshala,Himachal Pradesh,Hill Station,Summer,5.0,324.94,11571.5,75.9,11.5091,74.5162
18,Mumbai Resort,Mumbai,Maharashtra,Pilgrimage,Summer,4.4,3.6,15617.61,52.9,9.9546,68.911
19,Mumbai Resort,Mumbai,Maharashtra,Beach,Monsoon,4.5,107.12,6984.68,96.8,24.5602,81.7075
20,Hampi Fort,Hampi,Karnataka,Hill Station,Summer,3.6,215.53,11353.68,73.4,29.1432,87.5276
21,Panaji Temple,Panaji,Goa,Beach,Monsoon,4.7,54.63,7873.85,76.8,12.0653,73.3212
22,Mysore Lake,Mysore,Karnataka,Hill Station,Summer,4.2,430.67,13254.88,52.5,36.9792,92.2448
23,Vasco da Gama Fort,Vasco da Gama,Goa,Beach,All Season,4.2,106.87,11015.6,52.9,18.9902,96.574
24,Haridwar Beach,Haridwar,Uttarakhand,Hill Station,Summer,4.1,478.66,19931.34,77.8,28.8338,72.4891
25,Mussoorie Valley,Mussoorie,Uttarakhand,Hill Station,Summer,4.4,271.1,16219.63,52.9,24.9412,82.5827
26,Munnar Resort,Munnar,Kerala,Hill Station,Summer,4.8,34.26,6019.41,93.1,19.7095,95.3063
27,Kasauli Resort,Kasauli,Himachal Pradesh,Hill Station,Summer,3.6,40.99,14860.6,78.3,17.1747,75.5622
28,Pune Beach,Pune,Maharashtra,Adventure,Summer,4.5,150.0,9742.66,87.6,10.1038,81.2903
29,Panaji Resort,Panaji,Goa,Beach,Summer,4.3,66.23,10235.13,53.4,15.0842,76.2646
30,Gokarna Point,Gokarna,Karnataka,Historical,Winter,4.5,277.3,18976.34,55.2,33.4657,75.6695
31,Calangute Fort,Calangute,Goa,Beach,Monsoon,3.9,105.31,10143.2,84.4,32.7345,82.6569
32,Nainital Valley,Nainital,Uttarakhand,Hill Station,Summer,4.5,414.67,5661.3,66.7,11.7938,96.4141
33,Wayanad Resort,Wayanad,Kerala,Nature,All Season,4.3,55.94,19175.76,84.6,12.3226,69.0448
34,Nashik Resort,Nashik,Maharashtra,Beach,All Season,3.7,154.13,18484.72,89.8,32.9604,94.0688
35,Manali Point,Manali,Himachal Pradesh,Hill Station,Summer,3.7,390.06,18262.02,70.3,25.9992,72.482
36,Manali Lake,Manali,Himachal Pradesh,Hill Station,Summer,4.7,440.71,5371.8,86.8,17.6334,94.9937
37,Dharamshala Fort,Dharamshala,Himachal Pradesh,Hill Station,Summer,4.7,54.05,18082.5,92.9,14.4506,91.681
38,Coorg Beach,Coorg,Karnataka,Beach,Summer,3.5,96.56,9923.93,93.2,36.0398,76.0946
39,Coimbatore Beach,Coimbatore,Tamil Nadu,Hill Station,Summer,3.7,485.2,7678.52,98.1,15.6985,71.1437
40,Chennai Point,Chennai,Tamil Nadu,Historical,All Season,4.4,255.71,10777.93,78.8,15.387,88.5548
41,Pushkar Lake,Pushkar,Rajasthan,Historical,Winter,4.3,359.71,16129.25,83.5,18.5624,70.0292
42,Nashik Beach,Nashik,Maharashtra,Nature,Winter,4.6,150.16,9639.27,70.4,19.6696,76.574
43,Kochi Temple,Kochi,Kerala,Nature,All Season,4.5,451.4,14232.72,65.0,23.8902,68.0118
44,Mussoorie Temple,Mussoorie,Uttarakhand,Hill Station,Summer,4.7,303.33,9833.74,72.1,27.5932,82.824
45,Munnar Beach,Munnar,Kerala,Pilgrimage,Monsoon,3.6,476.0,8523.03,65.5,31.3903,72.2733
46,Udaipur Temple,Udaipur,Rajasthan,Historical,Winter,4.4,384.24,11831.24,94.3,24.6945,88.832
47,Madurai Temple,Madurai,Tamil Nadu,Beach,Summer,4.5,2.77,16264.47,88.5,11.091,80.3292
48,Trivandrum Temple,Trivandrum,Kerala,Hill Station,Summer,4.3,458.74,6820.38,56.7,21.4747,83.4028
49,Lonavala Resort,Lonavala,Maharashtra,Nature,All Season,4.7,273.94,18458.12,87.2,21.7656,75.5166
50,Dharamshala Lake,Dharamshala,Himachal Pradesh,Hill Station,Summer,4.7,242.3,8588.69,72.0,28.6928,74.8003
51,Mahabaleshwar Resort,Mahabaleshwar,Maharashtra,Hill Station,Summer,3.7,115.63,15409.25,85.3,9.8626,79.8204
52,Hampi Valley,Hampi,Karnataka,Beach,All Season,4.1,384.9,19190.93,51.0,33.539,84.695
53,Bangalore Beach,Bangalore,Karnataka,Historical,All Season,4.8,476.72,11285.32,87.4,23.8378,85.4943
54,Dalhousie Fort,Dalhousie,Himachal Pradesh,Hill Station,Summer,3.9,242.82,10832.86,83.4,31.1461,89.0013
55,Mysore Resort,Mysore,Karnataka,Pilgrimage,Winter,4.9,295.95,14945.0,54.2,20.4298,93.1387
56,Munnar Beach,Munnar,Kerala,Adventure,Monsoon,3.8,163.42,16418.45,69.0,29.8083,92.1258
57,Nainital Temple,Nainital,Uttarakhand,Hill Station,Summer,3.5,269.71,19998.62,67.5,26.8542,90.6558
58,Jaipur Fort,Jaipur,Rajasthan,Historical,Winter,3.8,10.19,7285.74,56.3,27.4143,84.3551
59,Dalhousie Point,Dalhousie,Himachal Pradesh,Hill Station,Summer,3.9,184.45,14088.39,98.2,28.8324,90.556
60,Alleppey Valley,Alleppey,Kerala,Pilgrimage,Winter,4.9,287.9,18620.39,68.8,35.3026,73.7516
61,Shimla Point,Shimla,Himachal Pradesh,Hill Station,Summer,4.7,425.15,14006.17,56.1,36.5315,90.6964
62,Nashik Temple,Nashik,Maharashtra,Nature,Monsoon,3.6,323.77,5189.78,71.0,22.2158,80.5722
63,Lonavala Point,Lonavala,Maharashtra,Beach,All Season,3.8,260.87,14756.86,80.8,34.6689,90.4646
64,Hampi Lake,Hampi,Karnataka,Nature,Monsoon,4.0,122.75,19019.33,63.9,21.0733,89.7638
65,Chennai Valley,Chennai,Tamil Nadu,Adventure,Monsoon,3.8,106.06,16967.49,67.0,33.5293,88.3343
66,Dehradun Valley,Dehradun,Uttarakhand,Hill Station,Summer,4.3,95.53,8620.34,70.3,24.1001,74.9694
67,Hampi Temple,Hampi,Karnataka,Hill Station,Summer,3.6,110.8,15376.81,65.3,24.8651,81.7246
68,Lonavala Point,Lonavala,Maharashtra,Pilgrimage,Monsoon,4.0,226.87,9599.34,61.5,28.9172,77.1509
69,Kochi Fort,Kochi,Kerala,Nature,All Season,3.9,294.79,16403.12,79.8,36.4348,92.1462
70,Mussoorie Beach,Mussoorie,Uttarakhand,Hill Station,Summer,3.8,7.07,13012.03,63.7,36.2546,84.0474
71,Wayanad Valley,Wayanad,Kerala,Hill Station,Summer,4.4,234.7,11607.03,59.2,9.4899,95.2908
72,Bangalore Lake,Bangalore,Karnataka,Hill Station,Summer,4.1,37.04,14441.69,52.7,12.3267,84.3223
73,Nainital Fort,Nainital,Uttarakhand,Hill Station,Summer,3.7,382.22,14094.76,89.5,14.5449,83.1546
74,Hampi Beach,Hampi,Karnataka,Pilgrimage,All Season,4.0,310.51,14144.46,87.0,35.4801,74.0258
75,Dharamshala Point,Dharamshala,Himachal Pradesh,Hill Station,Summer,3.6,119.93,13279.88,57.8,19.847,87.9918
76,Coorg Valley,Coorg,Karnataka,Beach,Monsoon,4.6,351.49,11810.47,84.4,34.7934,90.847
