hotel_id,destination_id,hotel_name,hotel_type,price_per_night,hotel_rating,occupancy_rate,rooms
1,50,Sea Hotel,Resort,12311.19,4.5,79.6,23
2,189,Sea Lodge,Standard,4697.6,3.8,59.0,183
3,104,Silver Resort,Resort,5867.38,4.5,70.0,55
4,123,Royal Inn,Standard,3043.14,3.9,64.2,104
5,78,Silver Inn,Budget,1244.64,4.0,57.6,190
6,31,Royal Retreat,Standard,4744.29,4.9,93.3,99
7,177,Sea Resort,Luxury,18448.63,3.8,50.4,59
8,117,Silver Resort,Budget,1506.94,4.3,69.8,157
9,171,Sunset Hotel,Resort,11803.42,4.4,78.2,154
10,115,Sea Inn,Budget,2359.32,3.7,60.3,149
11,52,Royal Hotel,Budget,1357.8,4.3,63.4,72
12,184,Grand Lodge,Budget,1557.32,3.6,45.0,126
13,117,Silver Retreat,Budget,1943.71,4.0,53.7,85
14,1,Silver Inn,Budget,876.99,4.0,54.5,35
15,18,Mountain Inn,Homestay,1288.05,3.8,50.4,184
16,187,Mountain Resort,Budget,2487.86,4.1,71.7,116
17,97,Golden Lodge,Luxury,10260.83,4.8,76.8,157
18,101,Golden Hotel,Budget,2219.2,4.6,86.9,138
19,173,Mountain Lodge,Budget,1444.77,3.8,56.3,59
20,71,Golden Inn,Standard,2128.87,4.5,77.7,24
21,62,Grand Lodge,Standard,2134.31,4.4,76.7,32
22,63,Mountain Retreat,Budget,1198.38,3.8,63.5,34
23,36,Sea Hotel,Budget,2186.84,4.6,75.1,173
24,198,Sea Hotel,Budget,1313.0,3.7,57.2,76
25,106,Grand Lodge,Standard,5794.08,4.8,91.1,180
26,174,Mountain Inn,Standard,5889.16,4.9,89.4,154
27,82,Mountain Hotel,Budget,1309.81,3.8,57.7,81
28,58,Golden Hotel,Standard,5223.1,4.9,87.5,126
29,143,Mountain Hotel,Budget,1233.49,4.0,54.8,135
30,95,Golden Hotel,Luxury,8876.12,4.1,66.9,30
31,19,Sunset Lodge,Standard,4897.22,4.3,70.0,105
32,78,Grand Hotel,Homestay,2393.17,4.9,79.4,142
33,63,Golden Hotel,Budget,1474.27,3.9,56.5,92
34,98,Golden Resort,Standard,3233.69,4.0,69.2,139
35,26,Golden Retreat,Resort,12616.29,4.0,57.0,100
36,106,Sunset Hotel,Luxury,20601.29,3.5,50.0,169
37,149,Sea Hotel,Budget,1133.53,3.8,58.3,82
38,128,Golden Resort,Budget,1237.46,4.7,89.4,184
39,190,Royal Resort,Standard,2677.06,4.6,78.1,158
40,165,Silver Inn,Homestay,2226.42,3.6,57.4,32
41,196,Royal Hotel,Luxury,9155.46,3.7,49.3,136
42,96,Golden Lodge,Luxury,23516.77,4.5,66.9,156
43,142,Grand Lodge,Standard,4888.77,4.3,66.5,148
44,179,Sunset Hotel,Budget,981.93,3.6,45.3,69
45,159,Sunset Resort,Budget,1254.45,4.1,62.7,123
46,118,Golden Hotel,Budget,1309.96,4.7,73.5,186
47,195,Mountain Retreat,Luxury,14411.88,4.2,70.1,199
48,44,Sunset Retreat,Luxury,18963.42,4.0,70.9,44
49,136,Royal Hotel,Resort,14012.73,4.5,76.9,89
50,12,Golden Resort,Resort,13993.12,4.3,61.9,100
51,5,Silver Hotel,Homestay,2078.83,4.6,76.5,39
52,77,Royal Lodge,Standard,5338.6,4.1,72.1,104
53,99,Royal Inn,Budget,1651.35,5.0,81.0,131
54,60,Sea Lodge,Resort,12690.06,4.9,84.5,103
55,8,Sunset Retreat,Budget,1634.03,4.0,70.3,130
56,48,Golden Retreat,Budget,945.68,4.4,78.4,38
57,22,Mountain Hotel,Standard,4958.62,4.0,55.3,21
58,79,Sunset Resort,Standard,2408.93,3.6,50.4,162
59,143,Grand Inn,Budget,952.35,4.3,72.1,103
60,99,Mountain Retreat,Luxury,21245.87,4.6,79.4,82
61,147,Golden Retreat,Budget,1088.15,3.9,55.5,57
62,17,Sea Retreat,Standard,3199.01,4.7,78.5,83
63,185,Silver Lodge,Budget,1132.43,3.7,50.8,121
64,86,Mountain Resort,Resort,9402.23,4.1,70.8,186
65,153,Sea Lodge,Luxury,24103.74,3.8,53.7,121
66,82,Golden Retreat,Standard,5871.05,4.7,77.9,91
67,101,Silver Hotel,Standard,4368.91,4.3,73.6,160
68,7,Mountain Hotel,Homestay,1545.37,3.9,63.1,124
69,173,Golden Resort,Standard,2968.08,4.5,79.5,116
70,19,Silver Retreat,Standard,4328.98,4.3,78.0,197
71,108,Sunset Resort,Budget,1992.78,4.7,82.7,41
72,28,Golden Resort,Budget,1082.78,4.4,74.1,185
73,174,Sunset Resort,Budget,2441.72,4.1,56.2,86
74,57,Silver Lodge,Budget,1786.88,4.4,72.0,120
75,119,Silver Lodge,Budget,1056.27,5.0,88.7,95
76,107,Grand Inn,Resort,13313.18,4.6,75.6,107
77,117,Silver Retreat,Budget,1392.11,3.6,55.7,135
78,82,Grand Inn,Luxury,8383.95,4.0,55.3,62
79,190,Royal Lodge,Standard,2640.54,4.3,78.6,79
80,104,Royal Retreat,Budget,1472.49,4.6,85.2,135
81,152,Grand Hotel,Standard,2823.14,4.6,83.9,36
82,148,Sunset Lodge,Luxury,11178.32,4.0,61.6,87
83,172,Silver Resort,Resort,10969.71,4.4,74.6,109
84,91,Silver Hotel,Resort,13137.38,4.6,74.7,177
85,152,Royal Resort,Luxury,10003.65,4.0,56.6,197
86,37,Mountain Lodge,Budget,1034.37,4.1,59.3,182
87,138,Golden Hotel,Budget,1743.35,4.2,61.2,100
88,116,Sunset Resort,Budget,2418.13,4.2,62.2,118
89,144,Mountain Retreat,Budget,1963.98,4.1,71.1,145
90,43,Grand Hotel,Luxury,12965.53,3.9,60.3,63
91,200,Golden Retreat,Standard,4198.9,3.7,47.4,159
92,94,Sunset Inn,Budget,2092.01,4.2,62.6,128
93,27,Golden Hotel,Budget,1306.11,5.0,88.1,109
94,23,Grand Hotel,Standard,2839.51,4.6,81.7,176
95,162,Silver Hotel,Standard,5139.4,4.7,86.5,165
96,90,Silver Lodge,Budget,1086.24,5.0,85.3,166
97,69,Silver Inn,Homestay,1030.5,4.6,76.7,35
98,71,Royal Hotel,Resort,7496.77,4.6,84.2,193
99,101,Silver Resort,Standard,4511.25,4.1,57.4,43
100,104,Sea Resort,Budget,1572.98,4.2,69.1,43
101,188,Golden Resort,Homestay,2245.18,4.7,79.2,129
102,55,Sea Resort,Standard,3351.02,4.4,74.2,144
103,88,Sunset Inn,Resort,5459.43,4.4,79.1,24
104,32,Royal Retreat,Resort,9565.18,5.0,87.7,196
105,34,Sea Hotel,Resort,13744.23,4.8,76.3,112
106,65,Golden Hotel,Luxury,8880.38,4.4,77.1,79
107,110,Golden Inn,Budget,801.85,4.2,61.1,77
108,133,Grand Inn,Budget,1982.52,4.7,89.8,128
109,178,Grand Hotel,Luxury,14512.19,4.6,71.2,100
110,95,Royal Retreat,Resort,12734.6,4.6,71.7,193
111,37,Silver Inn,Luxury,18375.43,3.7,51.7,74
112,161,Mountain Lodge,Budget,1967.16,4.8,76.2,45
113,36,Silver Retreat,Budget,1397.61,4.1,70.2,83
114,71,Royal Lodge,Budget,1821.7,4.6,74.5,196
115,7,Golden Resort,Resort,7054.46,4.4,67.4,120
116,76,Sunset Hotel,Budget,1641.31,3.7,54.3,172
117,19,Grand Resort,Budget,2387.67,3.7,60.8,165
118,108,Golden Hotel,Standard,5050.9,4.9,91.2,24
119,151,Sea Hotel,Luxury,8677.06,3.6,56.9,149
120,74,Silver Retreat,Budget,1520.08,4.1,67.5,157
121,158,Grand Resort,Standard,2316.09,4.9,94.9,59
122,138,Silver Inn,Standard,3240.68,4.2,75.8,81
123,15,Mountain Inn,Standard,3813.49,4.4,69.6,188
124,190,Grand Hotel,Standard,4806.0,3.7,62.5,153
125,133,Golden Resort,Budget,1083.84,3.7,59.4,88
126,188,Sunset Inn,Resort,8350.11,4.1,65.4,87
