tourist_id,age,gender,country,travel_type,budget
1,33,Male,UAE,Couple,84071.42
2,70,Female,UK,Couple,128732.68
3,52,Male,India,Family,66968.35
4,63,Female,India,Family,46268.9
5,24,Female,India,Business,12088.23
6,24,Female,India,Family,33074.11
7,31,Male,France,Friends,113613.28
8,18,Male,India,Family,44575.16
9,57,Female,India,Family,45829.89
10,54,Female,Canada,Friends,121779.12
11,40,Male,India,Family,55521.19
12,72,Male,Germany,Solo,140107.57
13,21,Male,USA,Friends,85924.46
14,73,Female,Germany,Couple,120222.19
15,43,Female,USA,Couple,93519.0
16,31,Male,India,Couple,21537.85
17,41,Female,India,Business,30101.98
18,26,Male,India,Solo,31640.18
19,49,Female,UAE,Solo,63722.03
20,69,Female,Germany,Friends,119539.05
21,45,Male,India,Couple,34602.14
22,42,Female,India,Couple,10222.9
23,49,Male,USA,Couple,142656.45
24,54,Female,India,Solo,24498.04
25,41,Male,India,Business,12401.89
26,64,Female,India,Solo,36697.46
27,23,Male,India,Family,78020.55
28,22,Female,India,Friends,26051.0
29,18,Female,India,Friends,27218.96
30,39,Female,India,Business,18838.54
31,28,Male,India,Family,45203.54
32,68,Female,India,Family,38453.96
33,21,Female,Australia,Family,78681.57
34,23,Male,India,Friends,18335.46
35,26,Female,India,Couple,32242.87
36,56,Male,Canada,Family,115915.56
37,41,Male,India,Family,54245.93
38,69,Male,India,Solo,14352.11
39,70,Male,Australia,Family,91294.79
40,42,Male,India,Family,38364.16
41,54,Female,India,Couple,34585.93
42,21,Male,India,Family,53813.31
43,66,Male,India,Family,53729.48
44,27,Female,India,Friends,23464.62
45,61,Female,UAE,Family,54101.76
46,52,Female,Japan,Couple,141804.2
47,72,Female,India,Couple,12948.3
48,59,Female,India,Family,42089.85
49,61,Male,India,Family,79660.74
50,38,Male,India,Friends,10358.84
51,24,Male,India,Couple,31757.52
52,34,Male,India,Family,32844.1
53,56,Male,Japan,Family,120807.51
54,25,Male,Germany,Solo,115639.46
55,75,Male,France,Family,75333.57
56,47,Male,India,Friends,18291.51
57,45,Female,India,Family,43864.37
58,21,Female,India,Business,17747.16
59,70,Female,India,Solo,39382.66
60,30,Female,India,Family,37193.63
61,67,Female,India,Family,75630.46
62,63,Female,India,Solo,27140.34
63,34,Female,India,Family,62643.27
64,18,Male,India,Couple,31001.66
65,75,Female,India,Family,76995.55
66,49,Female,India,Friends,33428.11
67,68,Male,India,Solo,38624.66
68,70,Female,India,Family,79580.07
69,39,Female,India,Family,77941.19
70,23,Female,India,Business,12413.7
71,47,Female,India,Couple,11179.94
72,42,Male,India,Couple,13203.04
73,62,Female,India,Friends,23139.51
74,30,Male,India,Solo,39891.51
75,33,Female,India,Family,62170.38
76,49,Female,UAE,Solo,83928.51
77,39,Male,India,Couple,29615.5
78,51,Female,Japan,Friends,103656.14
79,65,Male,Canada,Solo,64159.05
80,59,Male,India,Friends,11374.05
81,62,Male,India,Family,75233.12
82,70,Male,India,Couple,27731.27
83,70,Male,India,Family,60781.43
84,22,Male,India,Friends,39465.78
85,61,Female,India,Business,27279.01
86,26,Female,Australia,Family,126422.79
87,55,Male,India,Solo,14237.1
88,44,Male,India,Family,51933.06
