destination_id,month,temperature,humidity,rainfall,aqi
1,1,28.1,66,130.8,195
1,2,32.6,61,143.8,50
1,3,32.0,68,154.0,133
1,4,32.0,75,28.7,160
1,5,28.5,66,4.6,83
1,6,31.6,78,165.4,172
2,1,23.7,42,88.4,98
2,2,26.8,27,41.2,180
2,3,36.8,21,124.6,61
2,4,22.3,34,7.9,163
2,5,21.4,25,97.2,32
2,6,42.3,45,38.7,59
3,1,11.6,49,127.7,152
3,2,17.0,47,52.1,167
3,3,13.0,70,152.3,122
3,4,18.0,54,130.3,125
3,5,19.6,51,180.6,66
3,6,6.5,52,189.1,117
4,1,14.1,44,17.2,107
4,2,6.8,42,95.1,92
4,3,12.7,42,110.4,186
4,4,5.4,51,60.2,32
4,5,14.5,47,177.3,79
4,6,7.2,51,44.4,112
5,1,28.3,79,144.8,80
5,2,31.0,65,2.2,113
5,3,33.2,60,0.6,136
5,4,32.1,90,58.8,65
5,5,25.0,65,170.5,122
5,6,30.7,85,49.4,136
6,1,12.0,41,89.1,52
6,2,5.6,62,161.3,55
6,3,16.1,42,140.6,191
6,4,17.2,47,27.2,84
6,5,19.9,45,50.0,108
6,6,8.4,62,98.8,96
7,1,28.2,86,85.9,115
7,2,29.0,85,27.5,151
7,3,32.0,88,20.0,74
7,4,25.8,72,44.1,160
7,5,26.7,70,116.8,127
7,6,34.2,65,190.7,88
8,1,18.7,60,97.6,101
8,2,15.4,57,163.3,85
8,3,13.6,63,147.3,42
8,4,14.0,58,76.0,43
8,5,16.9,58,38.1,50
8,6,5.1,70,19.1,191
9,1,25.3,74,13.9,45
9,2,34.4,76,165.6,135
9,3,32.6,86,74.1,117
9,4,30.8,81,106.5,199
9,5,25.6,71,128.7,81
9,6,31.3,64,12.4,187
10,1,26.7,67,130.8,90
10,2,27.7,80,55.0,184
10,3,28.3,82,16.0,73
10,4,32.2,81,106.5,33
10,5,25.5,85,83.4,164
10,6,34.2,63,190.3,110
11,1,11.7,54,158.8,178
11,2,8.2,67,135.2,98
11,3,11.0,59,130.4,98
11,4,14.1,45,189.9,180
11,5,11.5,64,105.6,196
11,6,13.4,53,101.8,56
12,1,26.8,73,75.4,186
12,2,26.9,61,6.8,109
12,3,29.5,68,193.7,73
12,4,32.4,79,54.4,66
12,5,32.4,65,168.1,53
12,6,34.0,88,38.3,116
13,1,10.5,66,31.7,131
13,2,16.9,63,193.3,46
13,3,12.3,57,36.4,142
13,4,7.4,54,172.5,58
13,5,8.6,59,138.1,172
13,6,10.9,40,33.7,63
14,1,30.9,67,14.8,121
